epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.6837,2.2258,2.28837,1.38018,0.1466,0.21429,0.12316,0.07229,2.79837,4.31708,3.17764,0.0625453,0.00354527,0.00354527
43,75.703,2.34482,2.8212,1.60177,0.1466,0.21429,0.12316,0.07229,2.79837,4.31708,3.17764,0.0616179,0.00361788,0.00361788
44,79.1859,1.79444,2.20722,1.25958,0.1466,0.21429,0.12316,0.07229,2.79837,4.31708,3.17764,0.0606898,0.00368983,0.00368983
45,82.5984,2.10753,2.83775,1.47836,0.1466,0.21429,0.12316,0.07229,2.79837,4.31708,3.17764,0.0597611,0.00376112,0.00376112
46,86.2084,1.97137,2.55826,1.38558,0.01056,0.21429,0.08716,0.03094,3.18054,4.58301,4.98242,0.0588318,0.00383175,0.00383175
47,88.1675,1.91922,2.2009,1.32109,0.01056,0.21429,0.08716,0.03094,3.18054,4.58301,4.98242,0.0579017,0.00390172,0.00390172
48,89.6964,1.8891,2.32064,1.51849,0.01056,0.21429,0.08716,0.03094,3.18054,4.58301,4.98242,0.056971,0.00397103,0.00397103
49,91.3115,1.98433,2.52332,1.32093,0.01056,0.21429,0.08716,0.03094,3.18054,4.58301,4.98242,0.0560397,0.00403968,0.00403968
50,93.209,2.13286,2.39442,1.41676,0.14356,0.07143,0.00157,0.00033,3.41565,5.05,5.13206,0.0551077,0.00410767,0.00410767
51,94.8368,1.89474,2.28679,1.2397,0.14356,0.07143,0.00157,0.00033,3.41565,5.05,5.13206,0.054175,0.004175,0.004175
