epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,334.195,2.46489,2.43091,1.56977,0.30269,0.02,0.00367,0.00188,4.20298,4.57636,6.74429,0.008548,0.008548,0.008548
46,340.223,2.65718,2.70998,1.78654,0.01299,0.22,0.01616,0.00498,3.57218,10.0822,3.30926,0.008515,0.008515,0.008515
47,346.307,2.41251,2.47365,1.6287,0.01474,0.2,0.02231,0.00754,3.32089,61.5571,2.20169,0.008482,0.008482,0.008482
48,352.318,2.55734,2.53459,1.66589,0.01474,0.2,0.02231,0.00754,3.32089,61.5571,2.20169,0.008449,0.008449,0.008449
49,358.496,2.60341,2.7336,1.71745,0.01523,0.18,0.01451,0.00453,3.28396,114.062,2.20403,0.008416,0.008416,0.008416
50,364.522,2.63497,2.63006,1.67548,0.01523,0.18,0.01451,0.00453,3.28396,114.062,2.20403,0.008383,0.008383,0.008383
51,370.582,2.47442,2.39806,1.67289,0.01374,0.21,0.02427,0.00937,3.26012,26.2718,2.4087,0.00835,0.00835,0.00835
52,376.957,2.57015,2.49546,1.63228,0.00765,0.14,0.01097,0.00377,3.54446,4.94859,2.92146,0.008317,0.008317,0.008317
53,383.824,2.33328,2.3467,1.57139,0.00765,0.14,0.01097,0.00377,3.54446,4.94859,2.92146,0.008284,0.008284,0.008284
54,390.279,2.64264,2.5986,1.73481,0.00239,0.05,0.00314,0.00076,4.24432,5.05784,4.97739,0.008251,0.008251,0.008251
55,396.544,2.44269,2.36627,1.63016,0.01164,0.08,0.01183,0.00277,3.90279,4.69084,3.61271,0.008218,0.008218,0.008218
56,403.159,2.411,2.2227,1.59992,0.01164,0.08,0.01183,0.00277,3.90279,4.69084,3.61271,0.008185,0.008185,0.008185
57,410.4,2.48169,2.51593,1.63981,0.02399,0.14,0.02601,0.0086,3.44024,4.45732,2.82379,0.008152,0.008152,0.008152
58,417.677,2.52564,2.3047,1.62583,0.02399,0.14,0.02601,0.0086,3.44024,4.45732,2.82379,0.008119,0.008119,0.008119
59,463.57,2.48197,2.44965,1.55415,0.01606,0.23,0.03786,0.01772,3.38172,4.1183,2.68269,0.008086,0.008086,0.008086
60,469.804,2.51579,2.47128,1.62625,0.31492,0.06986,0.05057,0.01396,3.21107,3.95849,2.41131,0.008053,0.008053,0.008053
61,476.118,2.3611,2.14057,1.5732,0.31492,0.06986,0.05057,0.01396,3.21107,3.95849,2.41131,0.00802,0.00802,0.00802
62,482.297,2.45069,2.11106,1.56108,0.37329,0.0705,0.06899,0.01984,3.16175,4.03913,2.35211,0.007987,0.007987,0.007987
63,488.349,2.38846,2.20035,1.5595,0.39365,0.09894,0.0621,0.01968,3.11983,5.13845,2.11085,0.007954,0.007954,0.007954
64,494.194,2.49546,2.3931,1.74641,0.39365,0.09894,0.0621,0.01968,3.11983,5.13845,2.11085,0.007921,0.007921,0.007921
65,500.148,2.7345,2.39748,1.59486,0.1591,0.10668,0.05345,0.02211,3.03927,3.87971,1.9759,0.007888,0.007888,0.007888
66,506.074,2.52549,2.35539,1.66408,0.1591,0.10668,0.05345,0.02211,3.03927,3.87971,1.9759,0.007855,0.007855,0.007855
67,511.953,2.54526,2.40951,1.65309,0.1903,0.08706,0.04948,0.01531,3.11238,3.6965,2.07175,0.007822,0.007822,0.007822
68,517.926,2.30567,2.11517,1.52651,0.25587,0.08989,0.03552,0.00951,3.16501,3.98481,2.06264,0.007789,0.007789,0.007789
69,524.126,2.43233,2.27985,1.5668,0.25587,0.08989,0.03552,0.00951,3.16501,3.98481,2.06264,0.007756,0.007756,0.007756
70,530.298,2.42103,2.27719,1.56074,0.26038,0.12,0.04414,0.01113,3.0729,7.0118,1.86821,0.007723,0.007723,0.007723
71,536.215,2.20891,2.06243,1.49362,0.24281,0.12,0.04936,0.01596,3.07837,10.6105,1.80947,0.00769,0.00769,0.00769
72,542.212,2.53296,2.49299,1.56203,0.24281,0.12,0.04936,0.01596,3.07837,10.6105,1.80947,0.007657,0.007657,0.007657
73,548.252,2.39174,2.13227,1.47163,0.13822,0.17397,0.04166,0.01268,3.06257,15.8199,1.83424,0.007624,0.007624,0.007624
74,554.163,2.18786,1.89814,1.43835,0.13822,0.17397,0.04166,0.01268,3.06257,15.8199,1.83424,0.007591,0.007591,0.007591
75,560.092,2.29097,2.17339,1.46638,0.04044,0.16,0.03341,0.01034,3.05944,17.7698,1.94567,0.007558,0.007558,0.007558
76,565.887,2.44249,2.31772,1.58183,0.04271,0.14,0.02181,0.00625,3.17749,23.3489,2.04667,0.007525,0.007525,0.007525
77,571.839,2.1749,1.85261,1.47435,0.04271,0.14,0.02181,0.00625,3.17749,23.3489,2.04667,0.007492,0.007492,0.007492
78,577.71,2.25406,2.08418,1.54528,0.03816,0.13,0.02458,0.00734,3.19249,16.3904,2.12429,0.007459,0.007459,0.007459
79,583.683,2.28997,2.12837,1.59166,0.03706,0.1,0.03746,0.01286,3.17522,7.64322,2.0793,0.007426,0.007426,0.007426
80,589.599,2.2441,1.90733,1.53803,0.03706,0.1,0.03746,0.01286,3.17522,7.64322,2.0793,0.007393,0.007393,0.007393
81,595.608,2.36075,2.06677,1.58839,0.03189,0.07,0.05344,0.02125,3.0544,5.28945,1.94177,0.00736,0.00736,0.00736
82,601.626,2.32044,2.16455,1.52748,0.03189,0.07,0.05344,0.02125,3.0544,5.28945,1.94177,0.007327,0.007327,0.007327
83,607.536,2.39011,2.18719,1.61201,0.01575,0.42,0.03179,0.01049,2.98736,4.20348,1.88255,0.007294,0.007294,0.007294
84,615.172,2.2599,2.01176,1.5248,0.01689,0.42,0.03486,0.0109,2.93598,3.7347,1.86677,0.007261,0.007261,0.007261
85,622.813,2.17904,1.91715,1.43814,0.01689,0.42,0.03486,0.0109,2.93598,3.7347,1.86677,0.007228,0.007228,0.007228
86,630.134,2.27025,1.94828,1.50261,0.03414,0.19548,0.03452,0.00969,3.02934,3.78339,1.95971,0.007195,0.007195,0.007195
87,637.433,2.35666,2.07195,1.52928,0.0521,0.14391,0.0382,0.00977,3.14954,3.9445,2.02141,0.007162,0.007162,0.007162
88,644.255,2.30179,2.0705,1.60751,0.0521,0.14391,0.0382,0.00977,3.14954,3.9445,2.02141,0.007129,0.007129,0.007129
