epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,661.286,2.49826,2.54721,1.58629,0.82289,0.06339,0.07366,0.03109,2.99955,4.70388,2.05967,0.0077725,0.0077725,0.0077725
47,674.47,2.56647,2.38702,1.61131,0.82289,0.06339,0.07366,0.03109,2.99955,4.70388,2.05967,0.007723,0.007723,0.007723
48,689.273,2.29133,2.13156,1.51794,0.48829,0.07589,0.06435,0.01895,3.2565,5.73574,2.20239,0.0076735,0.0076735,0.0076735
49,701.555,2.26403,2.1391,1.53865,0.45972,0.02857,0.03434,0.00789,3.48369,4.41318,2.31331,0.007624,0.007624,0.007624
50,713.719,2.39731,2.18952,1.51611,0.23294,0.14768,0.07195,0.02041,3.0019,3.69075,1.98051,0.0075745,0.0075745,0.0075745
51,727.264,2.27848,2.15744,1.43449,0.23294,0.14768,0.07195,0.02041,3.0019,3.69075,1.98051,0.007525,0.007525,0.007525
52,739.643,2.33614,2.13097,1.5324,0.18093,0.16214,0.06449,0.02019,2.90103,3.98853,2.12116,0.0074755,0.0074755,0.0074755
53,751.405,2.31002,2.07529,1.47285,0.29983,0.10821,0.06184,0.01523,2.98279,4.6448,2.16804,0.007426,0.007426,0.007426
54,763.234,2.19033,2.08275,1.53582,0.13796,0.10821,0.05325,0.01454,2.97335,4.57539,2.15802,0.0073765,0.0073765,0.0073765
55,776.071,2.244,2.00406,1.49751,0.13796,0.10821,0.05325,0.01454,2.97335,4.57539,2.15802,0.007327,0.007327,0.007327
56,792.088,2.26415,1.95766,1.39967,0.40959,0.07679,0.04975,0.01654,3.10664,4.22334,2.06525,0.0072775,0.0072775,0.0072775
57,808.375,2.29364,2.13106,1.44897,0.16706,0.07857,0.06341,0.02323,3.13668,3.91937,2.08054,0.007228,0.007228,0.007228
58,824.276,2.39884,2.38815,1.53516,0.15768,0.125,0.0654,0.02466,3.00859,3.75672,2.03487,0.0071785,0.0071785,0.0071785
59,838.073,2.27254,2.03545,1.4215,0.15768,0.125,0.0654,0.02466,3.00859,3.75672,2.03487,0.007129,0.007129,0.007129
60,854.157,2.28157,2.17212,1.49962,0.14141,0.12411,0.06322,0.01947,3.01308,3.80524,2.05808,0.0070795,0.0070795,0.0070795
61,869.234,2.18578,1.96305,1.46333,0.51428,0.08393,0.07972,0.02489,2.98216,3.72343,2.04401,0.00703,0.00703,0.00703
62,884.561,2.08806,1.85787,1.41841,0.56345,0.07679,0.07159,0.02652,3.01571,3.67781,1.992,0.0069805,0.0069805,0.0069805
63,898.434,2.21825,1.84067,1.45836,0.56345,0.07679,0.07159,0.02652,3.01571,3.67781,1.992,0.006931,0.006931,0.006931
64,914.505,2.11525,1.9849,1.48709,0.46507,0.06793,0.06955,0.02881,3.00175,3.89538,1.94366,0.0068815,0.0068815,0.0068815
65,928.114,2.10972,1.82061,1.44913,0.39638,0.07589,0.07148,0.03114,3.02181,3.75418,1.94189,0.006832,0.006832,0.006832
66,1144.31,2.27151,2.06553,1.50665,0.41654,0.0806,0.07955,0.02869,2.94771,3.67796,1.93621,0.0067825,0.0067825,0.0067825
67,1154.12,2.28328,2.0741,1.47071,0.41654,0.0806,0.07955,0.02869,2.94771,3.67796,1.93621,0.006733,0.006733,0.006733
68,1161.58,2.21098,1.99241,1.48472,0.18441,0.09464,0.06226,0.02192,2.97637,3.73829,1.98138,0.0066835,0.0066835,0.0066835
69,1169.11,2.20767,1.93923,1.40968,0.27617,0.10937,0.068,0.02689,2.93954,3.60154,1.96576,0.006634,0.006634,0.006634
70,1176.88,2.07379,1.91081,1.51086,0.08467,0.12964,0.08427,0.02974,2.89131,3.28038,1.98618,0.0065845,0.0065845,0.0065845
71,1184.55,2.22239,1.98258,1.43538,0.08467,0.12964,0.08427,0.02974,2.89131,3.28038,1.98618,0.006535,0.006535,0.006535
72,1192.36,2.11111,1.87435,1.43971,0.18672,0.10107,0.07746,0.03215,2.91643,3.48203,2.04468,0.0064855,0.0064855,0.0064855
73,1200.08,2.10691,1.75342,1.39755,0.13512,0.08393,0.08253,0.03238,2.95801,3.27392,2.08405,0.006436,0.006436,0.006436
74,1207.68,2.25949,2.33129,1.5542,0.08535,0.11743,0.08459,0.0305,2.97207,3.12529,2.15399,0.0063865,0.0063865,0.0063865
75,1215.18,2.1198,1.71701,1.3943,0.08535,0.11743,0.08459,0.0305,2.97207,3.12529,2.15399,0.006337,0.006337,0.006337
76,1222.97,1.88378,1.58932,1.34049,0.32911,0.11875,0.07523,0.02303,3.07547,3.27509,2.1681,0.0062875,0.0062875,0.0062875
77,1230.89,2.15733,1.89883,1.45872,0.09413,0.17643,0.07277,0.02322,3.04553,3.32902,2.17979,0.006238,0.006238,0.006238
78,1238.58,2.00499,1.87714,1.44311,0.09351,0.1303,0.06828,0.02296,3.02036,3.5222,2.17025,0.0061885,0.0061885,0.0061885
79,1246.24,2.09522,1.81026,1.41827,0.09351,0.1303,0.06828,0.02296,3.02036,3.5222,2.17025,0.006139,0.006139,0.006139
80,1253.98,2.16632,1.87982,1.42504,0.12928,0.13054,0.09049,0.02702,3.02208,3.43901,2.14272,0.0060895,0.0060895,0.0060895
81,1261.74,2.13871,1.83061,1.44597,0.18022,0.10805,0.09917,0.03077,2.99577,3.34879,2.15768,0.00604,0.00604,0.00604
82,1269.66,1.98408,1.65081,1.36803,0.14452,0.12275,0.09868,0.03449,2.95938,3.24792,2.13569,0.0059905,0.0059905,0.0059905
83,1277.63,2.01807,1.71803,1.33008,0.14452,0.12275,0.09868,0.03449,2.95938,3.24792,2.13569,0.005941,0.005941,0.005941
84,1285.55,1.97314,1.69366,1.39838,0.1993,0.10821,0.10381,0.03252,2.98826,3.29311,2.17145,0.0058915,0.0058915,0.0058915
85,1293.67,2.17511,1.90277,1.48084,0.08835,0.1325,0.07424,0.02377,2.96405,3.31008,2.17407,0.005842,0.005842,0.005842
86,1301.49,1.95069,1.65423,1.38398,0.0839,0.16464,0.0752,0.02404,2.96657,3.38458,2.21445,0.0057925,0.0057925,0.0057925
87,1309.43,1.9929,1.66498,1.33094,0.0839,0.16464,0.0752,0.02404,2.96657,3.38458,2.21445,0.005743,0.005743,0.005743
