epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7743,2.85373,4.69947,1.91853,0,0,0,0,4.09024,5.32051,2.51021,0.0946,0.0006,0.0006
2,19.6652,2.78444,4.21201,1.84471,0,0,0,0,3.30039,4.91084,2.60842,0.0882936,0.00129356,0.00129356
3,28.5645,2.32307,5.27452,1.53503,0.00092,0.015,0.0006,0.00018,3.07193,4.84123,2.56133,0.0819802,0.0019802,0.0019802
4,37.4263,2.94362,4.00013,1.95129,0.0042,0.06611,0.0071,0.00142,3.05745,4.70423,3.8567,0.0756599,0.0026599,0.0026599
5,46.4904,2.7087,3.70364,1.8618,0.00204,0.08722,0.00919,0.00142,2.96953,4.74271,4.19187,0.0693327,0.00333268,0.00333268
6,55.742,2.7745,3.6432,1.82529,0.00013,0.01,7e-05,2e-05,3.76242,5.42601,7.54338,0.0629985,0.00399852,0.00399852
7,64.9913,2.86673,3.62708,1.93104,0,0,0,0,3.50424,28.4911,12.5013,0.0566574,0.00465744,0.00465744
8,76.4906,2.97547,3.83491,1.86922,0,0,0,0,4.26036,744.318,29.671,0.0503094,0.00530942,0.00530942
9,89.0046,2.43149,4.69931,1.56666,0,0,0,0,4.78017,1790.88,119.405,0.0439545,0.00595448,0.00595448
10,102.212,2.78826,3.39601,1.80362,0,0,0,0,4.52009,2534.82,113.389,0.0375926,0.0065926,0.0065926
11,115.879,2.54143,4.04095,1.63563,0,0,0,0,4.73691,1451.94,29.3437,0.0312238,0.0072238,0.0072238
12,130.198,3.01078,3.42421,1.89422,4e-05,0.00556,2e-05,0,4.55403,5395.8,27.4333,0.0248481,0.00784807,0.00784807
13,144.128,2.78303,3.36249,1.93827,0.00035,0.00526,0.00023,5e-05,4.29337,9519.86,36.6846,0.0184654,0.0084654,0.0084654
14,158.313,2.78655,3.20933,1.77431,0.0003,0.00526,0.0002,4e-05,4.29337,9519.86,36.6846,0.0120758,0.00907581,0.00907581
15,172.719,2.4421,4.18116,1.49462,4e-05,0.00556,3e-05,0,4.30593,6372.66,32.32,0.009307,0.009307,0.009307
16,186.999,2.92473,3.32587,1.88361,0,0,0,0,4.42707,3843.68,19.7977,0.0092575,0.0092575,0.0092575
17,201.102,2.77302,3.23088,1.84857,6e-05,0.005,3e-05,0,4.92232,6552.96,22.7419,0.009208,0.009208,0.009208
18,214.753,2.81133,3.33295,1.96774,0,0,0,0,5.11475,6224.67,29.0366,0.0091585,0.0091585,0.0091585
19,229.084,2.82773,3.19216,1.95902,0.00042,0.00238,0.00012,5e-05,4.93691,1917.37,34.2996,0.009109,0.009109,0.009109
20,242.803,2.73072,3.01488,1.87755,0,0,0,0,4.79844,1154.92,17.4396,0.0090595,0.0090595,0.0090595
21,256.873,2.66724,3.07338,1.74609,0.00049,0.01556,0.00031,7e-05,4.44517,1916.04,10.7703,0.00901,0.00901,0.00901
22,270.708,2.63499,3.08731,1.7883,0.00049,0.01556,0.00031,7e-05,4.44517,1916.04,10.7703,0.0089605,0.0089605,0.0089605
23,283.029,2.57766,2.99035,1.80415,0.10422,0.04108,0.00174,0.00041,3.58738,996.071,3.47641,0.008911,0.008911,0.008911
24,295.051,2.43335,2.59938,1.66239,0.20408,0.0716,0.00226,0.00034,3.28973,590.34,3.32871,0.0088615,0.0088615,0.0088615
25,306.954,2.53285,2.79974,1.89735,0.20233,0.04095,0.00106,0.00021,3.29182,501.6,3.67778,0.008812,0.008812,0.008812
26,319.952,2.46258,2.52905,1.66621,0.00051,0.01111,0.00086,0.00029,3.5334,1163.28,6.45135,0.0087625,0.0087625,0.0087625
27,333.218,2.55405,2.51756,1.68374,0.20027,0.01611,0.00099,0.00047,3.6917,1065.64,5.79419,0.008713,0.008713,0.008713
28,345.848,2.41684,2.55798,1.60242,0.1003,0.01667,0.00017,7e-05,3.70012,670.531,5.62427,0.0086635,0.0086635,0.0086635
29,358.522,2.64009,2.83178,1.86387,0.60417,0.00714,0.00171,0.00068,3.84511,137.203,4.56779,0.008614,0.008614,0.008614
30,371.302,2.44096,2.42032,1.59352,0.60417,0.00714,0.00171,0.00068,3.84511,137.203,4.56779,0.0085645,0.0085645,0.0085645
31,384.122,2.42284,2.48325,1.65083,0.20282,0.06618,0.00228,0.0007,3.44515,97.691,3.78109,0.008515,0.008515,0.008515
32,397.003,2.49921,2.76354,1.73493,0.21845,0.09133,0.00672,0.0029,3.04299,79.8973,3.00334,0.0084655,0.0084655,0.0084655
33,408.879,2.42427,2.43046,1.72294,0.26057,0.12594,0.02251,0.00933,2.84579,39.5973,2.61677,0.008416,0.008416,0.008416
34,421.149,2.10682,3.74951,1.46214,0.33663,0.04539,0.02971,0.01471,3.15992,16.6119,2.7639,0.0083665,0.0083665,0.0083665
35,431.944,2.44584,2.53475,1.77833,0.34273,0.03833,0.03457,0.01931,3.18179,13.6063,2.72744,0.008317,0.008317,0.008317
36,442.004,2.43949,2.42484,1.59202,0.31866,0.11293,0.01341,0.00482,2.95363,13.3037,2.54482,0.0082675,0.0082675,0.0082675
37,454.145,2.40307,2.4242,1.64774,0.30827,0.08839,0.00825,0.00242,3.71824,22.7075,3.45511,0.008218,0.008218,0.008218
38,466.457,2.06137,2.72098,1.36258,0.30827,0.08839,0.00825,0.00242,3.71824,22.7075,3.45511,0.0081685,0.0081685,0.0081685
39,478.828,2.44834,2.68875,1.81523,0.31003,0.07602,0.00751,0.00183,3.89655,17.5888,3.78357,0.008119,0.008119,0.008119
40,490.821,2.45313,2.34934,1.63893,0.31978,0.04706,0.01495,0.00498,3.59555,11.0696,3.19995,0.0080695,0.0080695,0.0080695
41,502.315,2.43662,2.39887,1.52901,0.52019,0.06214,0.02164,0.00834,3.28663,8.16442,2.81135,0.00802,0.00802,0.00802
42,513.344,2.52618,2.40603,1.71758,0.42945,0.03833,0.02715,0.00934,3.46632,6.03794,2.8756,0.0079705,0.0079705,0.0079705
43,524.029,2.54086,2.69736,1.76141,0.32546,0.05292,0.04543,0.02055,3.18229,4.88287,2.63446,0.007921,0.007921,0.007921
44,533.51,2.4631,2.52623,1.63463,0.66922,0.1069,0.07875,0.03242,2.96588,4.20733,2.42973,0.0078715,0.0078715,0.0078715
45,542.941,2.3951,2.63397,1.59445,0.7083,0.07761,0.09059,0.03987,2.75944,3.79859,2.31204,0.007822,0.007822,0.007822
46,552.193,2.49997,2.37506,1.49805,0.7083,0.07761,0.09059,0.03987,2.75944,3.79859,2.31204,0.0077725,0.0077725,0.0077725
47,561.547,1.98047,2.47852,1.3495,0.43986,0.09246,0.07248,0.02898,2.77902,4.16953,2.3047,0.007723,0.007723,0.007723
48,570.562,2.31648,3.09651,1.49666,0.39657,0.17935,0.08541,0.03438,2.75221,3.86565,2.22482,0.0076735,0.0076735,0.0076735
49,579.447,1.98889,2.55667,1.37783,0.60454,0.08611,0.04126,0.01831,3.02654,4.1503,2.3673,0.007624,0.007624,0.007624
50,588.336,2.26966,2.25457,1.52878,0.54479,0.07738,0.04199,0.01742,3.05223,3.99644,2.40635,0.0075745,0.0075745,0.0075745
51,597.835,2.33801,2.15484,1.54145,0.53443,0.07053,0.06815,0.023,2.77733,3.60244,2.25346,0.007525,0.007525,0.007525
52,607.139,2.2694,2.1128,1.52071,0.38664,0.13399,0.06684,0.0256,2.87165,3.61156,2.40037,0.0074755,0.0074755,0.0074755
53,616.369,2.42539,2.29444,1.59404,0.24609,0.13959,0.04683,0.01493,3.07832,4.20658,2.52988,0.007426,0.007426,0.007426
54,625.433,2.31014,2.3245,1.57114,0.24609,0.13959,0.04683,0.01493,3.07832,4.20658,2.52988,0.0073765,0.0073765,0.0073765
55,634.787,2.22782,2.03406,1.5562,0.42553,0.04857,0.02573,0.01053,3.01378,5.06565,2.54349,0.007327,0.007327,0.007327
56,644.23,2.19335,1.9708,1.48867,0.10005,0.08605,0.06648,0.02583,2.83316,4.08293,2.43474,0.0072775,0.0072775,0.0072775
57,653.606,2.33073,2.29031,1.55803,0.12924,0.1281,0.07756,0.03057,2.65285,3.9368,2.37012,0.007228,0.007228,0.007228
58,662.941,2.37013,2.08042,1.60004,0.34969,0.11979,0.13058,0.05354,2.68586,3.49022,2.30811,0.0071785,0.0071785,0.0071785
59,672.182,2.31401,2.06221,1.53398,0.52834,0.1033,0.13223,0.05494,2.74569,3.36412,2.25274,0.007129,0.007129,0.007129
60,681.492,2.17861,1.84656,1.42323,0.5024,0.09913,0.11687,0.04902,2.88791,4.08335,2.4237,0.0070795,0.0070795,0.0070795
61,690.813,2.13438,1.84855,1.43288,0.21719,0.1205,0.0917,0.04298,2.95492,4.67825,2.4216,0.00703,0.00703,0.00703
62,700.159,2.124,1.87083,1.42572,0.21719,0.1205,0.0917,0.04298,2.95492,4.67825,2.4216,0.0069805,0.0069805,0.0069805
63,709.551,2.16397,1.9063,1.47244,0.22333,0.07293,0.06404,0.02644,3.0092,4.78515,2.45765,0.006931,0.006931,0.006931
64,719.151,2.09358,1.81366,1.43469,0.17356,0.08658,0.07052,0.02704,2.94128,4.48487,2.41591,0.0068815,0.0068815,0.0068815
65,728.458,2.15882,1.86284,1.49886,0.37126,0.13455,0.12083,0.05389,2.71161,3.32742,2.29615,0.006832,0.006832,0.006832
66,737.682,2.13023,1.7628,1.42096,0.263,0.14905,0.12362,0.05488,2.742,3.19601,2.42623,0.0067825,0.0067825,0.0067825
67,746.68,2.32543,2.23989,1.54272,0.36338,0.09657,0.11523,0.05499,2.78539,3.17694,2.49273,0.006733,0.006733,0.006733
68,755.798,2.27904,2.02413,1.51872,0.50997,0.11299,0.10936,0.04569,2.78477,3.47458,2.5402,0.0066835,0.0066835,0.0066835
69,764.812,2.12456,1.84768,1.51412,0.21343,0.16761,0.10766,0.04189,2.76045,4.59216,2.51876,0.006634,0.006634,0.006634
70,774.125,1.87632,2.44905,1.261,0.21343,0.16761,0.10766,0.04189,2.76045,4.59216,2.51876,0.0065845,0.0065845,0.0065845
71,783.647,2.24543,1.9582,1.46596,0.20932,0.11851,0.08065,0.03385,2.9417,3.5117,2.58267,0.006535,0.006535,0.006535
72,792.905,2.30485,2.13323,1.48023,0.39269,0.0812,0.0785,0.0294,3.04492,3.64423,2.57562,0.0064855,0.0064855,0.0064855
73,802.092,2.01649,1.73087,1.45767,0.21133,0.0905,0.09073,0.03684,2.97332,3.67382,2.51642,0.006436,0.006436,0.006436
74,811.35,2.16573,1.83069,1.46439,0.13488,0.11018,0.08421,0.03257,3.02977,3.96863,2.46538,0.0063865,0.0063865,0.0063865
75,820.416,2.03814,1.89261,1.50743,0.43648,0.08312,0.07606,0.02769,3.01148,4.07183,2.46287,0.006337,0.006337,0.006337
76,829.522,2.2026,1.76046,1.40737,0.10905,0.19311,0.08587,0.03181,2.96098,3.901,2.42245,0.0062875,0.0062875,0.0062875
77,838.992,2.22347,2.12057,1.56752,0.11335,0.15945,0.08021,0.03003,2.97759,3.78987,2.4789,0.006238,0.006238,0.006238
78,848.191,2.14184,1.84999,1.50224,0.11335,0.15945,0.08021,0.03003,2.97759,3.78987,2.4789,0.0061885,0.0061885,0.0061885
79,857.591,2.33958,2.02617,1.42942,0.49493,0.07222,0.08436,0.03054,2.9327,3.76798,2.52403,0.006139,0.006139,0.006139
80,866.663,2.29164,1.90803,1.41634,0.1338,0.11724,0.08567,0.02827,2.97351,3.89137,2.57704,0.0060895,0.0060895,0.0060895
81,875.762,1.87676,1.53123,1.30685,0.1161,0.13646,0.08886,0.02556,2.94141,4.06212,2.51813,0.00604,0.00604,0.00604
82,885.003,2.04855,2.05022,1.38297,0.07223,0.08991,0.04744,0.01526,3.00356,4.5395,2.49483,0.0059905,0.0059905,0.0059905
83,894.308,1.91974,1.48852,1.31937,0.07428,0.07386,0.05181,0.01959,2.9537,4.43836,2.55094,0.005941,0.005941,0.005941
84,903.716,2.02759,1.76303,1.44344,0.28875,0.11655,0.09281,0.03734,2.80721,3.79647,2.50707,0.0058915,0.0058915,0.0058915
85,912.689,1.93624,1.61868,1.38446,0.65354,0.12997,0.14946,0.0589,2.78291,3.07955,2.52616,0.005842,0.005842,0.005842
86,921.847,1.94875,1.71144,1.42975,0.65354,0.12997,0.14946,0.0589,2.78291,3.07955,2.52616,0.0057925,0.0057925,0.0057925
87,931.024,2.00612,1.66946,1.38293,0.44818,0.16514,0.16871,0.06548,2.73797,2.78443,2.58093,0.005743,0.005743,0.005743
88,940.179,2.01522,1.56918,1.35576,0.32448,0.20879,0.17319,0.06622,2.67314,2.91728,2.49629,0.0056935,0.0056935,0.0056935
89,949.458,2.0285,1.77814,1.44593,0.33102,0.18115,0.1613,0.06203,2.67231,2.98897,2.49393,0.005644,0.005644,0.005644
90,958.919,2.00492,1.59555,1.36596,0.54467,0.14716,0.14947,0.06146,2.67202,2.9909,2.48307,0.0055945,0.0055945,0.0055945
91,968.281,2.18836,1.95031,1.54697,0.54717,0.13035,0.13604,0.04929,2.80118,3.17093,2.40388,0.005545,0.005545,0.005545
92,977.332,1.97909,1.55505,1.42223,0.22971,0.18264,0.12255,0.04437,2.76793,3.39462,2.30305,0.0054955,0.0054955,0.0054955
93,986.166,2.14277,2.07479,1.39886,0.26186,0.18354,0.11931,0.04758,2.71407,3.43595,2.20399,0.005446,0.005446,0.005446
94,994.964,2.02756,1.75883,1.36797,0.26186,0.18354,0.11931,0.04758,2.71407,3.43595,2.20399,0.0053965,0.0053965,0.0053965
95,1003.85,1.97091,1.59148,1.30589,0.15664,0.15947,0.11581,0.04893,2.77953,3.5734,2.18515,0.005347,0.005347,0.005347
96,1012.97,1.87869,1.52466,1.33828,0.14805,0.13648,0.11907,0.04922,2.85505,3.66376,2.20402,0.0052975,0.0052975,0.0052975
