epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7229,2.90283,4.7518,1.94661,0,0,0,0,4.57828,5.59032,3.06647,0.0946,0.0006,0.0006
2,22.195,2.83531,4.26021,1.86559,0,0,0,0,3.2365,4.83673,2.68175,0.0882936,0.00129356,0.00129356
3,35.73,2.3703,5.27556,1.57447,0.02,0.005,0.0111,0.00222,3.39421,4.78347,3.56837,0.0819802,0.0019802,0.0019802
4,50.9688,2.95707,4.12206,1.92572,0.01723,0.04667,0.01432,0.00591,3.38993,4.72845,4.1596,0.0756599,0.0026599,0.0026599
5,65.4054,2.81205,3.89944,1.8782,0.00123,0.03556,0.00259,0.00046,3.26737,4.8337,4.54312,0.0693327,0.00333268,0.00333268
6,80.4391,2.90787,3.77032,1.85966,0.00014,0.015,9e-05,2e-05,3.39855,4.87479,5.74552,0.0629985,0.00399852,0.00399852
7,95.6113,2.94529,3.74239,1.93222,6e-05,0.015,7e-05,1e-05,3.22222,4.96564,4.95023,0.0566574,0.00465744,0.00465744
8,110.6,3.13176,3.95491,1.92343,0.00048,0.03222,0.00027,8e-05,3.31512,5.35867,4.13663,0.0503094,0.00530942,0.00530942
9,128.836,2.47743,4.00264,1.58394,0,0,0,0,3.72371,317.184,10.8528,0.0439545,0.00595448,0.00595448
10,147.963,2.83372,3.52062,1.77326,0,0,0,0,4.04418,2038.14,23.0904,0.0375926,0.0065926,0.0065926
