epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7751,2.6693,4.79175,1.87019,0,0,0,0,3.46238,4.93023,2.23929,0.0955,0.0005,0.0005
2,51.608,2.75878,4.31918,1.73838,0.00022,0.01,0.00035,3e-05,3.85532,4.97881,2.92059,0.0900891,0.00108911,0.00108911
3,80.5625,2.80172,4.14021,1.77429,3e-05,0.01,5e-05,1e-05,3.46238,5.06653,2.67613,0.0846663,0.00166634,0.00166634
4,111.07,2.80555,3.94997,1.81574,3e-05,0.01,0.00239,0.00051,3.66471,4.94447,2.71445,0.0792317,0.00223169,0.00223169
5,140.354,2.82944,3.69277,1.82171,7e-05,0.02,0.00016,3e-05,3.61288,4.86313,2.48075,0.0737852,0.00278516,0.00278516
6,169.29,2.74401,5.38263,1.8132,0,0,0,0,3.8953,4.88021,2.84358,0.0683268,0.00332675,0.00332675
7,191.398,2.8477,3.79203,1.76019,0,0,0,0,3.72155,6.31828,5.17167,0.0628565,0.00385646,0.00385646
8,202.574,2.78949,3.68868,1.81013,0,0,0,0,3.79066,5.49306,3.92885,0.0573743,0.00437429,0.00437429
9,232.165,2.76151,3.51516,1.84434,0,0,0,0,3.60706,5.53472,4.79574,0.0518802,0.00488024,0.00488024
10,262.666,2.76396,3.53732,1.82385,0.10016,0.01,0.00011,2e-05,3.71871,98.0829,10.1874,0.0463743,0.00537431,0.00537431
11,295.557,3.02988,3.92418,1.92858,0,0,0,0,4.14454,647.462,18.2886,0.0408565,0.0058565,0.0058565
12,329.378,2.76781,3.42519,1.75689,0,0,0,0,4.21785,2573.19,20.7824,0.0353268,0.00632681,0.00632681
13,362.72,2.68011,3.32692,1.82766,0,0,0,0,4.39433,4549.6,15.3763,0.0297852,0.00678524,0.00678524
14,394.845,2.85287,3.22132,1.8519,0.00013,0.01,0.00012,1e-05,5.14247,3998.95,24.3629,0.0242318,0.00723179,0.00723179
15,427.038,2.63202,3.40363,1.87491,0.00013,0.01,0.00012,1e-05,5.14247,3998.95,24.3629,0.0186665,0.00766646,0.00766646
16,459.856,2.75807,3.53333,1.78923,0.00015,0.01,0.00016,6e-05,4.82027,7125.65,17.0536,0.0130892,0.00808925,0.00808925
17,490.467,2.87861,3.49367,1.95028,0,0,0,0,4.51842,3508.52,29.5216,0.008416,0.008416,0.008416
18,522.062,2.88706,3.23332,1.80793,0.00014,0.01,0.00038,8e-05,4.46164,3999.09,19.626,0.008317,0.008317,0.008317
19,553.944,2.80577,3.11235,1.73715,0.00014,0.01,0.00038,8e-05,4.46164,3999.09,19.626,0.008218,0.008218,0.008218
20,585.984,2.84347,3.11079,1.82013,0,0,0,0,4.38643,634.822,9.47685,0.008119,0.008119,0.008119
21,620.461,2.54904,2.85485,1.63433,0.00015,0.01,0.00011,1e-05,3.8402,309.976,3.46084,0.00802,0.00802,0.00802
22,643.565,2.72133,2.94023,1.77221,0.00017,0.01,0.00031,9e-05,3.78139,2519.5,3.63081,0.007921,0.007921,0.007921
23,656.356,2.55868,2.95905,1.72641,0.00014,0.01,0.0003,9e-05,3.78139,2519.5,3.63081,0.007822,0.007822,0.007822
24,667.405,2.59365,2.86546,1.62489,0.00012,0.01,0.00012,1e-05,3.83137,7859.9,4.52201,0.007723,0.007723,0.007723
25,678.4,2.6847,2.77538,1.64292,0,0,0,0,3.98679,10926.9,7.732,0.007624,0.007624,0.007624
26,689.384,2.47135,2.50651,1.52378,0,0,0,0,4.16934,6094.61,7.59626,0.007525,0.007525,0.007525
27,700.295,2.3129,2.48115,1.47581,0,0,0,0,4.16934,6094.61,7.59626,0.007426,0.007426,0.007426
28,710.789,2.62119,2.70276,1.66122,0.0001,0.01,8e-05,2e-05,4.30946,4075.24,6.95636,0.007327,0.007327,0.007327
29,721.4,2.52296,2.5594,1.62841,0.00015,0.01,9e-05,1e-05,4.39264,1764.61,5.23676,0.007228,0.007228,0.007228
30,731.399,2.57543,2.76496,1.63272,0.30011,0.01,7e-05,1e-05,4.26042,451.786,3.53569,0.007129,0.007129,0.007129
31,741.09,2.66458,2.79474,1.72062,0.30011,0.01,7e-05,1e-05,4.26042,451.786,3.53569,0.00703,0.00703,0.00703
32,751.25,2.56865,2.71692,1.65678,6e-05,0.01,4e-05,0,4.34612,1260.18,4.03405,0.006931,0.006931,0.006931
33,761.088,2.55856,2.64046,1.5883,0,0,0,0,3.90254,3115.12,3.6598,0.006832,0.006832,0.006832
34,770.9,2.43471,2.56701,1.60811,7e-05,0.02,5e-05,0,3.65301,1948.27,2.9301,0.006733,0.006733,0.006733
35,780.728,2.49747,2.40898,1.54928,7e-05,0.02,5e-05,0,3.65301,1948.27,2.9301,0.006634,0.006634,0.006634
36,789.804,2.46216,2.64635,1.61793,0.00013,0.02,7e-05,1e-05,3.52877,308.872,2.4977,0.006535,0.006535,0.006535
37,797.869,2.65194,2.71251,1.65106,0.5005,0.01,0.00045,0.00014,3.45453,38.5377,2.21527,0.006436,0.006436,0.006436
38,805.616,2.57218,2.72869,1.62793,0.34618,0.08476,0.02363,0.00613,3.31321,7.23878,1.96038,0.006337,0.006337,0.006337
39,813.474,2.57328,2.54108,1.60052,0.34618,0.08476,0.02363,0.00613,3.31321,7.23878,1.96038,0.006238,0.006238,0.006238
40,821.105,2.48153,2.4397,1.55061,0.3727,0.09,0.03881,0.00979,3.00099,5.5388,1.72157,0.006139,0.006139,0.006139
41,828.814,2.31083,2.23743,1.48093,0.37132,0.11,0.04819,0.01583,2.89102,6.03985,1.72741,0.00604,0.00604,0.00604
42,836.461,2.2751,2.18968,1.4576,0.18043,0.27291,0.07766,0.02145,2.91195,6.68858,1.74201,0.005941,0.005941,0.005941
43,843.708,2.38737,2.37476,1.58105,0.18043,0.27291,0.07766,0.02145,2.91195,6.68858,1.74201,0.005842,0.005842,0.005842
44,851.323,2.27048,2.28623,1.56559,0.22226,0.27476,0.0957,0.02626,2.92865,5.80311,1.77121,0.005743,0.005743,0.005743
45,858.826,2.40304,2.17984,1.50451,0.30402,0.19,0.06613,0.02054,2.91008,4.25194,1.8167,0.005644,0.005644,0.005644
46,866.124,2.29791,2.20662,1.61103,0.34238,0.14258,0.03713,0.01103,2.97583,3.89831,1.88363,0.005545,0.005545,0.005545
47,873.318,2.4402,2.53981,1.60155,0.34238,0.14258,0.03713,0.01103,2.97583,3.89831,1.88363,0.005446,0.005446,0.005446
48,880.698,2.1191,1.97065,1.43033,0.35278,0.1264,0.04869,0.0139,2.98688,3.73554,1.89873,0.005347,0.005347,0.005347
49,887.923,2.33545,2.38029,1.53937,0.36361,0.11,0.05589,0.01772,2.9444,3.75953,1.84695,0.005248,0.005248,0.005248
50,895.617,2.32978,2.39751,1.54951,0.28687,0.1,0.06054,0.02273,3.02497,3.70448,1.86579,0.005149,0.005149,0.005149
51,908.986,2.32219,2.18755,1.49067,0.28687,0.1,0.06054,0.02273,3.02497,3.70448,1.86579,0.00505,0.00505,0.00505
52,921.715,2.30118,2.13652,1.49573,0.24948,0.14,0.04478,0.01568,2.94074,3.60357,1.82563,0.004951,0.004951,0.004951
53,935.712,2.33991,2.07922,1.50922,0.33626,0.08782,0.04432,0.01197,2.98079,3.77356,1.86607,0.004852,0.004852,0.004852
54,949.115,2.21084,2.01864,1.43027,0.33008,0.08,0.03379,0.00917,3.02922,3.74766,1.91188,0.004753,0.004753,0.004753
55,961.528,2.24008,2.05206,1.45474,0.33008,0.08,0.03379,0.00917,3.02922,3.74766,1.91188,0.004654,0.004654,0.004654
56,974.718,2.20682,2.08503,1.42093,0.337,0.07,0.02627,0.00747,3.00712,3.68343,1.88004,0.004555,0.004555,0.004555
57,987.024,2.27822,2.20679,1.50281,0.24171,0.09,0.03139,0.00945,2.98657,3.49683,1.84389,0.004456,0.004456,0.004456
58,999.272,2.10348,1.86421,1.3974,0.0782,0.14,0.05644,0.01515,2.969,3.35244,1.78348,0.004357,0.004357,0.004357
59,1010.22,2.26131,2.06934,1.4912,0.0782,0.14,0.05644,0.01515,2.969,3.35244,1.78348,0.004258,0.004258,0.004258
60,1022.3,2.27883,2.07239,1.45922,0.22026,0.13713,0.06402,0.01643,2.95056,3.30331,1.75037,0.004159,0.004159,0.004159
61,1035.69,2.24125,1.88762,1.42171,0.07342,0.12329,0.06684,0.01673,2.89702,3.36403,1.76109,0.00406,0.00406,0.00406
62,1048.15,2.33257,2.09982,1.44677,0.05297,0.11,0.05269,0.01389,2.9426,3.39861,1.81644,0.003961,0.003961,0.003961
63,1060.87,2.15505,1.82091,1.39246,0.05297,0.11,0.05269,0.01389,2.9426,3.39861,1.81644,0.003862,0.003862,0.003862
64,1072.7,2.28267,2.06345,1.44746,0.04195,0.11312,0.04528,0.01095,2.94467,3.4784,1.84263,0.003763,0.003763,0.003763
65,1085.11,2.19161,1.9492,1.51627,0.15625,0.12313,0.05368,0.01162,2.95982,3.47894,1.8334,0.003664,0.003664,0.003664
66,1097.25,2.09202,1.87147,1.38893,0.15846,0.16,0.0572,0.01345,2.95617,3.38274,1.77874,0.003565,0.003565,0.003565
67,1109.05,2.14827,1.84386,1.39094,0.15846,0.16,0.0572,0.01345,2.95617,3.38274,1.77874,0.003466,0.003466,0.003466
68,1121.74,2.25351,1.84764,1.46643,0.14956,0.1412,0.06919,0.01869,3.00872,3.25071,1.78544,0.003367,0.003367,0.003367
