epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65313,3.09545,5.37724,2.40148,0,0,0,0,3.20563,5.15319,2.55258,0.1,0,0
2,2.94761,1.94755,4.99067,1.60522,0,0,0,0,2.98719,4.89852,2.23536,0.0990997,9.967e-05,9.967e-05
3,4.29135,2.19964,4.73626,1.69277,0,0,0,0,2.96249,4.81301,2.18929,0.0981987,0.00019868,0.00019868
4,5.54356,2.57093,4.52322,1.79863,0.14286,0.07143,0.10714,0.05357,3.10803,4.79919,2.22111,0.097297,0.00029703,0.00029703
5,6.78366,2.56653,4.6131,2.0336,0.00063,0.07143,0.02373,0.00712,3.10375,4.82198,2.14465,0.0963947,0.00039472,0.00039472
6,8.04914,1.99313,3.99122,1.39748,0.00024,0.07143,0.01185,0.00711,2.91525,4.73179,2.03377,0.0954918,0.00049175,0.00049175
7,9.27956,1.88154,3.61589,1.50011,0.00024,0.07143,0.02363,0.01418,2.82399,4.65932,1.90367,0.0945881,0.00058812,0.00058812
8,10.5501,1.85292,3.78373,1.5604,0.00024,0.07143,0.07078,0.03539,2.64134,4.50064,1.7851,0.0936838,0.00068383,0.00068383
9,11.7365,2.4593,4.67705,1.86493,0.00024,0.07143,0.07078,0.03539,2.64134,4.50064,1.7851,0.0927789,0.00077888,0.00077888
10,12.962,2.63456,4.31667,1.75963,0.00024,0.07143,0.07078,0.04247,2.78178,4.57609,1.87194,0.0918733,0.00087327,0.00087327
11,14.3253,2.30996,3.41989,1.55007,0.00024,0.07143,0.07078,0.04247,2.78178,4.57609,1.87194,0.090967,0.000967,0.000967
12,15.6952,2.70172,4.15408,1.95062,0.00026,0.07143,0.07078,0.04247,3.18331,4.56695,2.06478,0.0900601,0.00106007,0.00106007
13,16.9206,2.10962,3.14442,1.39389,0.00026,0.07143,0.07078,0.04247,3.18331,4.56695,2.06478,0.0891525,0.00115248,0.00115248
14,18.143,2.68999,3.61325,1.76443,0.0012,0.07143,0.07102,0.05682,2.81583,4.52822,1.94943,0.0882442,0.00124423,0.00124423
15,19.3814,2.11737,2.87773,1.59719,0.0012,0.07143,0.07102,0.05682,2.81583,4.52822,1.94943,0.0873353,0.00133532,0.00133532
16,20.7206,2.07817,2.90343,1.48975,0.00493,0.07143,0.07197,0.06477,2.2969,4.42591,1.76648,0.0864258,0.00142575,0.00142575
17,22.0171,2.21038,3.53431,1.49657,0.00493,0.07143,0.07197,0.06477,2.2969,4.42591,1.76648,0.0855155,0.00151552,0.00151552
18,23.2693,2.281,3.63958,1.61858,0.02381,0.07143,0.07679,0.06143,2.56517,4.60912,1.95014,0.0846046,0.00160463,0.00160463
19,24.4717,2.22609,3.20771,1.51333,0.02381,0.07143,0.07679,0.06143,2.56517,4.60912,1.95014,0.0836931,0.00169308,0.00169308
20,25.7695,2.11496,2.90967,1.53133,0.00893,0.07143,0.07299,0.03342,2.53137,4.43507,1.90496,0.0827809,0.00178087,0.00178087
21,27.1034,2.10105,3.05998,1.47497,0.00893,0.07143,0.07299,0.03342,2.53137,4.43507,1.90496,0.081868,0.001868,0.001868
22,28.3031,2.17541,3.26117,1.45355,0.00304,0.07143,0.07149,0.0143,2.60119,4.38979,2.17111,0.0809545,0.00195447,0.00195447
23,29.5412,1.892,2.83308,1.30563,0.00304,0.07143,0.07149,0.0143,2.60119,4.38979,2.17111,0.0800403,0.00204028,0.00204028
24,30.8135,2.05789,3.36482,1.48853,0.00304,0.07143,0.07149,0.0143,2.60119,4.38979,2.17111,0.0791254,0.00212543,0.00212543
25,32.0924,2.11061,2.9191,1.46789,0.00103,0.07143,0.07098,0.03557,2.44867,4.33059,2.10938,0.0782099,0.00220992,0.00220992
26,33.3496,2.12228,3.03759,1.50279,0.00103,0.07143,0.07098,0.03557,2.44867,4.33059,2.10938,0.0772938,0.00229375,0.00229375
27,34.5223,2.0677,3.11911,1.37837,0.00103,0.07143,0.07098,0.03557,2.44867,4.33059,2.10938,0.0763769,0.00237692,0.00237692
28,35.7725,1.8174,2.52638,1.32076,0.00047,0.07143,0.07083,0.05667,2.37433,4.18193,2.33806,0.0754594,0.00245943,0.00245943
29,36.9917,1.69699,2.37157,1.32704,0.00047,0.07143,0.07083,0.05667,2.37433,4.18193,2.33806,0.0745413,0.00254128,0.00254128
