epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61345,2.92732,4.84901,2.09501,0,0,0,0,3.80158,4.82313,2.53037,0.0964,0.0004,0.0004
2,16.9137,3.06206,4.33119,2.00659,0.00023,0.01,0.00013,6e-05,4.20196,4.96029,2.61771,0.091897,0.00089703,0.00089703
3,24.1523,2.84815,4.2349,1.88712,0,0,0,0,3.80282,4.79385,2.40305,0.0873908,0.00139076,0.00139076
4,34.1713,2.82214,4.04863,1.82333,0,0,0,0,3.80112,4.87634,2.13511,0.0828812,0.00188119,0.00188119
5,48.8702,2.90139,3.74074,1.76202,0,0,0,0,4.776,5.41893,3.11373,0.0783683,0.00236832,0.00236832
6,69.2265,2.72887,3.77929,1.72391,0.00159,0.01,0.00088,0.00018,4.85515,5.39454,4.1171,0.0738522,0.00285215,0.00285215
7,79.1406,2.9849,3.89893,1.88267,0.00084,0.04,0.00077,0.00011,4.28516,5.03128,4.91083,0.0693327,0.00333268,0.00333268
8,88.5187,2.95913,3.81956,1.91775,0.60724,0.01,0.01246,0.00154,3.9951,6.28896,4.86618,0.0648099,0.00380991,0.00380991
9,99.8361,2.78723,3.66377,1.79078,0.20028,0.01,7e-05,1e-05,4.23249,43.1938,7.25201,0.0602838,0.00428384,0.00428384
10,129.431,2.94034,3.98991,1.76291,0,0,0,0,5.50173,69.0619,70.1442,0.0557545,0.00475447,0.00475447
11,155.828,3.0966,4.02792,1.92532,0,0,0,0,5.75454,19.4913,44.8302,0.0512218,0.0052218,0.0052218
12,178.855,2.86417,3.83722,1.73662,0,0,0,0,5.76863,64.4013,19.1609,0.0466858,0.00568583,0.00568583
13,203.976,3.05008,3.52228,1.81711,0.00166,0.02,0.00094,0.0002,4.55689,160.589,6.28474,0.0421466,0.00614656,0.00614656
14,226.151,2.83651,3.52064,1.71771,0.00127,0.06,0.00159,0.00038,4.55689,160.589,6.28474,0.037604,0.00660399,0.00660399
15,251.86,2.97825,3.78567,1.85942,0.00034,0.01,0.0002,0.0001,4.69314,70.6196,6.20026,0.0330581,0.00705812,0.00705812
16,275.133,2.85529,3.46927,1.84815,0,0,0,0,5.10427,7.29943,9.04362,0.028509,0.00750895,0.00750895
17,298.32,2.87928,3.44543,1.76819,0,0,0,0,4.68336,6.38362,7.47354,0.0239565,0.00795648,0.00795648
18,320.407,2.89527,3.44641,1.82792,0,0,0,0,4.68336,6.38362,7.47354,0.0194007,0.00840071,0.00840071
19,345.254,3.09085,3.59811,1.8928,0.00198,0.01,0.00068,0.00013,4.70343,147.197,8.54086,0.0148416,0.00884164,0.00884164
20,370.716,2.78191,3.10629,1.871,0,0,0,0,4.47757,9342.65,11.988,0.0102793,0.00927927,0.00927927
21,395.586,2.67229,3.26013,1.72352,0,0,0,0,4.47757,9342.65,11.988,0.00934,0.00934,0.00934
22,421.366,2.70353,3.23361,1.79147,0.4002,0.01,0.00012,1e-05,4.75912,462.675,7.63529,0.009307,0.009307,0.009307
23,446.504,2.68252,3.13624,1.787,0.10247,0.03,0.00098,0.00013,3.97344,121.562,4.1705,0.009274,0.009274,0.009274
24,471.109,2.75794,3.12162,1.83621,0.10247,0.03,0.00098,0.00013,3.97344,121.562,4.1705,0.009241,0.009241,0.009241
25,495.926,2.74135,3.25053,1.82471,0.30026,0.06,0.00027,7e-05,4.40664,248.839,5.51027,0.009208,0.009208,0.009208
26,520.582,2.88776,3.28526,1.81879,0.30026,0.06,0.00027,7e-05,4.40664,248.839,5.51027,0.009175,0.009175,0.009175
27,545.085,2.95406,3.42051,1.86806,0,0,0,0,4.72891,151.453,6.23229,0.009142,0.009142,0.009142
28,570.126,2.7672,3.58004,1.78164,0.5003,0.01,0.00031,8e-05,3.66808,22.5121,3.34638,0.009109,0.009109,0.009109
29,593.513,2.75798,3.34267,1.81714,0.5003,0.01,0.00031,8e-05,3.66808,22.5121,3.34638,0.009076,0.009076,0.009076
30,621.357,2.79564,3.13307,1.76757,0.00015,0.03,8e-05,2e-05,4.32947,119.046,5.87422,0.009043,0.009043,0.009043
31,649.923,2.70545,3.31338,1.86664,0.10011,0.01,5e-05,0,4.73242,1383.47,26.8722,0.00901,0.00901,0.00901
