epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75321,2.87714,4.85759,2.07803,0,0,0,0,3.47725,4.83945,2.01345,0.0964,0.0004,0.0004
2,16.9418,2.98504,4.45539,2.00087,0,0,0,0,3.85398,4.9001,2.34653,0.091897,0.00089703,0.00089703
3,23.9352,2.90642,4.51137,1.97225,0.025,0.01,0.02087,0.00209,4.02754,5.05978,2.47023,0.0873908,0.00139076,0.00139076
4,30.5393,2.74712,4.00835,1.89929,0.00238,0.01,0.00244,0.00073,3.87416,5.00109,2.58053,0.0828812,0.00188119,0.00188119
5,37.2661,2.66063,3.76921,1.75966,0,0,0,0,3.38819,4.77832,2.53678,0.0783683,0.00236832,0.00236832
6,43.9565,2.76963,3.78853,1.74897,0,0,0,0,3.48904,4.78602,3.10997,0.0738522,0.00285215,0.00285215
7,50.6389,2.76526,3.67031,1.87245,0,0,0,0,3.78826,4.79693,4.41191,0.0693327,0.00333268,0.00333268
8,57.107,2.95754,3.67252,1.92623,0.00074,0.01,0.00043,9e-05,3.86197,4.7624,5.2598,0.0648099,0.00380991,0.00380991
9,63.6382,2.76394,3.34342,1.83529,0.00016,0.01,0.0001,2e-05,4.15778,4.7651,8.84035,0.0602838,0.00428384,0.00428384
10,70.6983,2.92938,3.65994,1.81949,0.00028,0.01,0.00035,7e-05,4.18103,6.1165,12.4225,0.0557545,0.00475447,0.00475447
11,78.7792,3.056,3.69129,1.93832,0,0,0,0,3.73991,59.8521,11.4856,0.0512218,0.0052218,0.0052218
12,87.8987,2.97045,3.81621,1.96569,0,0,0,0,3.51891,302.412,11.7388,0.0466858,0.00568583,0.00568583
13,97.1445,3.06101,3.16516,1.9717,0,0,0,0,3.64466,551.571,14.9497,0.0421466,0.00614656,0.00614656
14,106.929,2.84539,3.29049,1.75557,0,0,0,0,3.64466,551.571,14.9497,0.037604,0.00660399,0.00660399
15,116.704,2.95179,3.36855,1.90586,0,0,0,0,3.68366,404.294,6.6128,0.0330581,0.00705812,0.00705812
16,126.257,2.76375,3.27462,1.86266,0,0,0,0,3.54028,180.364,5.14915,0.028509,0.00750895,0.00750895
17,136.426,2.91502,3.2754,1.81507,0.00012,0.01,7e-05,2e-05,3.99815,1139.86,6.06757,0.0239565,0.00795648,0.00795648
18,145.9,2.88766,3.13174,1.92454,0.00012,0.01,7e-05,2e-05,3.99815,1139.86,6.06757,0.0194007,0.00840071,0.00840071
19,155.78,3.05014,3.09408,1.90845,0,0,0,0,3.97923,5485.17,14.6745,0.0148416,0.00884164,0.00884164
20,185.811,2.58873,2.81217,1.74702,0,0,0,0,4.43204,9178.97,28.3285,0.0102793,0.00927927,0.00927927
21,214.65,2.57748,2.80373,1.75042,0,0,0,0,4.43204,9178.97,28.3285,0.00934,0.00934,0.00934
22,242.648,2.79978,2.9817,1.89157,0,0,0,0,4.23317,15526.4,19.1198,0.009307,0.009307,0.009307
23,269.646,2.56249,3.01409,1.75176,0,0,0,0,4.17939,9586.28,12.5341,0.009274,0.009274,0.009274
24,296.697,2.73762,2.83154,1.78534,0,0,0,0,4.17939,9586.28,12.5341,0.009241,0.009241,0.009241
25,325.911,2.65986,2.93329,1.77435,0,0,0,0,4.71301,10072.7,21.015,0.009208,0.009208,0.009208
26,354.531,2.80572,2.94273,1.82243,0,0,0,0,4.71301,10072.7,21.015,0.009175,0.009175,0.009175
27,383.586,2.80183,2.99326,1.83415,0.0002,0.01,0.00011,3e-05,4.21328,10956.9,10.795,0.009142,0.009142,0.009142
28,396.236,2.53084,3.03073,1.78814,7e-05,0.01,4e-05,0,4.1933,9574.45,25.2415,0.009109,0.009109,0.009109
29,408.255,2.68198,2.73339,1.81941,0,0,0,0,4.1933,9574.45,25.2415,0.009076,0.009076,0.009076
30,436.225,2.59412,2.63578,1.71508,0,0,0,0,4.08997,8164.11,25.5252,0.009043,0.009043,0.009043
